"gene_short_name","pval","qval"
"IGKC",3.32383125967321e-277,1.50237172937229e-274
"IGLC3",1.48618162212194e-209,3.35877046599559e-207
"COL1A1",3.2466761119452e-114,4.89165867533077e-112
"FOS",1.73515014174442e-95,1.9607196601712e-93
"JUN",9.48106190923683e-85,8.5708799659501e-83
"HSPA1A",7.24750002172825e-71,5.45978334970195e-69
"COL1A2",3.73281611128423e-68,2.41033268900068e-66
"IER2",1.97625277637134e-57,1.11658281864981e-55
"JUNB",2.70263585915002e-55,1.35732378703979e-53
"FOSB",2.79821152464421e-50,1.26479160913918e-48
"HSPA1B",6.28852716016135e-42,2.58401297853903e-40
"EGR1",4.72827726395305e-40,1.78098443608898e-38
"FN1",1.29253497748239e-32,4.49404469093878e-31
"DNAJB1",3.47723430120805e-30,1.12264993153288e-28
"BTG2",5.45628157142819e-29,1.64415951352369e-27
"COL3A1",5.11835476732838e-28,1.44593522177027e-26
"DUSP1",6.62691749369848e-28,1.76198041597159e-26
"JUND",2.65080754626731e-27,6.65647228284902e-26
"TXNIP",1.69990768454309e-25,4.04399091270251e-24
"TUBA1B",2.75220416181006e-24,6.21998140569075e-23
"HLA-B",3.04068565230682e-19,6.54471388020325e-18
"S100A8",1.06598634803131e-18,2.19011740595524e-17
"S100A9",9.468382183144e-18,1.86074293338308e-16
"PPP1R15A",1.09336662985954e-17,2.0591738195688e-16
"SPARC",1.71646013524257e-17,3.10335992451857e-16
"HLA-C",1.52565535989743e-16,2.65229316412938e-15
"IGLC2",2.10790916649615e-16,3.5287960861343e-15
"SRGN",2.63633071571884e-16,4.25579101251756e-15
"ACTB",2.95339202769026e-16,4.60321791902068e-15
"CXCL11",8.94854523191916e-15,1.34824748160915e-13
"COL6A2",1.09359927191397e-13,1.59453829324231e-12
"KRT13",1.3914915707649e-13,1.96548184370542e-12
"PSME2",3.25149725163131e-13,4.45356593253744e-12
"TNFRSF12A",6.28374440308103e-13,8.35368373586067e-12
"CALR",2.4048837887043e-11,3.10573563569812e-10
"HSP90B1",1.1412708749208e-09,1.43292898740056e-08
"MANF",1.01201588834178e-08,1.23630049062293e-07
"HSPA5",1.11275194286866e-08,1.28965096968368e-07
"COL4A1",1.08652448592624e-08,1.28965096968368e-07
"CALD1",2.14201637807062e-08,2.4204785072198e-07
"MCL1",2.36903389265018e-08,2.61171541336069e-07
"SAT1",2.42212089593491e-07,2.60666344038709e-06
"IFRD1",6.5361998825185e-07,6.87061010906596e-06
"SELENOP",9.10453802449471e-07,9.35284360698093e-06
"SERPINH1",1.94551864921818e-06,1.95416539877026e-05
"SYNPO2",2.29625351846866e-06,2.25631867466921e-05
"TUBA1C",2.61106989191602e-06,2.51107147052349e-05
"TYMP",2.89254230021352e-06,2.7238106660344e-05
"NR4A2",4.36137905421778e-06,4.0231496581764e-05
"PFN1",4.54344659590822e-06,4.10727572270103e-05
"PPIB",6.3984780505344e-06,5.67080799772853e-05
"HSP90AA1",6.52624540583719e-06,5.67281331430463e-05
"WARS1",8.7271058636442e-06,7.44273934031543e-05
"PDIA6",1.16873521628478e-05,9.78274662519854e-05
"PDIA3",1.19471419529223e-05,9.81837847767436e-05
"ENO1",2.2475797001614e-05,0.000181411790084456
"H3-3B",3.89861467731881e-05,0.000309153304236509
"PKM",4.16422984308715e-05,0.000324522739495757
"IL32",4.96909276272527e-05,0.000380683038771495
"GMFG",5.71098752471468e-05,0.00043022772686184
"CKAP4",9.64198524544995e-05,0.000714455300154652
"SEC61B",0.000104322363085492,0.000760543679268423
"CFL1",0.000149920814723333,0.00107562235325312
"PAPPA",0.000208068756722201,0.00146948559435055
"NFKBIA",0.000406029583754068,0.00282346725933598
"IGHA1",0.000456369383076438,0.00312543880531136
"SSR3",0.000556930405803019,0.00375720214064126
"FKBP11",0.000793758893252844,0.00527616205515126
"NME1",0.000881078911373276,0.00577170533247421
"ELF3",0.00107153475403324,0.00691905298318604
"EEF2",0.00110254999143923,0.00692156383514627
"NFKBIZ",0.00110010019332933,0.00692156383514627
"ALDH18A1",0.00142546050888666,0.00882613904132563
"CDC123",0.00204411343086253,0.0124856658209441
"PPA1",0.00212908073244867,0.0128312598808906
"RPL41",0.00318719451991706,0.0189554200395067
"ARF4",0.00355718301218067,0.0208811262533203
"ATP5MC1",0.00379610604087963,0.0219979478266358
"HSP90AB1",0.00424803406335927,0.0243052075523847
"TSPYL2",0.00500409882925049,0.0282731583852653
"MNDA",0.00598029754453272,0.0333715369151703
"MAFF",0.00761216113434757,0.0419597174722573
"PYCR1",0.00788824657736573,0.0429576801562567
"CRELD2",0.00806856206772885,0.0434165482692076
