"","p.value","HR","Low 95%CI","High 95%CI"
"ADAMTS14",0.0437516794534169,1.39066855376487,1.00928286709241,1.91617146142778
"ADAMTS15",0.0316799254749989,1.26542202795428,1.02086470690466,1.56856525453522
"ADAMTS7",0.0223465156734583,1.37805619123432,1.04659915099067,1.8144853876498
"ADAMTSL2",0.0130324905889176,1.46644222432179,1.08396896934466,1.98386933398466
"ALDH2",0.0398906316381414,0.763110260497182,0.589654914381496,0.987589953840893
"ALPL",0.00861197082973482,1.28692617188303,1.06615420356903,1.55341409932383
"ANGPT2",0.0220182509124988,1.49302793624934,1.05947375693151,2.1039996543917
"APCDD1L",0.00266157415174873,1.53638591611649,1.16099863688597,2.03314767842655
"CCDC102A",0.0194752295730336,1.58544886101766,1.077063880076,2.3337966646183
"CNIH3",0.0491078888126571,1.63625648166238,1.00192624287984,2.6721879906915
"COLQ",0.0197818346214081,0.39888266033785,0.184139903297498,0.86405702332289
"CSF2",0.0318717271684676,1.3450766012122,1.02603433707744,1.76332408940814
"CXCL14",0.0484962282513244,0.887853462002999,0.788903263427409,0.999214740937936
"CYTL1",0.00949695517160111,1.39683401874348,1.08507834431937,1.79816073754834
"DMD",0.0471816706068308,0.628103378886829,0.396803987443692,0.994228553776906
"DNM3",0.0347764005507008,1.59736319341407,1.03406704090357,2.46750846003604
"ERG",0.00163172692730994,1.7751843616841,1.24213873883107,2.53697869606203
"ESM1",0.00662740779068494,1.36714878087576,1.09086347169717,1.71340945731928
"FHL2",0.011615544331451,1.4545718575263,1.08729389189524,1.9459129720848
"FNDC4",0.0119180932721209,1.45106890625008,1.08557776661282,1.93961320454786
"FOXC2",0.0402619018840555,1.21672712994985,1.00874978469848,1.46758386590239
"FOXL1",0.0260652035687399,1.26126207511026,1.02805700010041,1.547367531135
"FSTL3",0.0114764565781503,1.31580085874756,1.06359466425688,1.62781175767788
"GRB10",0.00353937674397354,1.66260674195998,1.18144969832152,2.33971973782545
"HTRA1",0.0313586118151595,1.35212507120513,1.02735068138836,1.77956976259635
"IL3RA",0.0140423562927187,0.612382765840221,0.414069282374386,0.90567609784453
"ITGA5",5.89351410959807e-05,1.75771088505152,1.33485581380625,2.31451781044349
"KANK3",0.0420280440532113,0.573707147324681,0.335797424711028,0.980173958078048
"LOXL2",0.0288210939244805,1.2778733703875,1.02567020613287,1.5920910454271
"MMP1",0.00138841167183937,1.1900610760166,1.0696488219782,1.32402834981913
"MMP3",0.0311127609713488,1.15515412545651,1.01317798933661,1.31702530809311
"MOCS1",0.0451764508190236,1.29305361874173,1.00553824586052,1.6627787832279
"MRC2",0.046603369326087,1.29716234121288,1.00392013612446,1.67605975706046
"MT1A",0.0278934628705168,1.22496656716605,1.02228382197978,1.4678341360901
"NRP1",0.00161646576985838,1.61343915625165,1.19841260754796,2.17219503076853
"NT5E",0.0469417235849586,1.19654663550926,1.00242894696519,1.42825469603907
"P4HA3",0.00294313859540784,1.59357105680653,1.17215416405371,2.16649719889159
"PAPPA",0.0477446005637122,1.57531965230923,1.00452593300891,2.47045091162386
"PARM1",0.0380149891546494,0.775467178542532,0.609865279206142,0.986036368195101
"PDE2A",0.0317958234199343,1.52198916344359,1.03726163783363,2.2332369473123
"PDLIM7",0.0115454087749871,1.6005341988517,1.11110815092998,2.30554489187189
"PEAR1",0.00084507822220285,1.65430204261891,1.23093655443159,2.2232788833514
"PMEPA1",0.0104243544989101,1.41949702869308,1.08573413101583,1.85586116979048
"POPDC2",0.0158316275315254,0.499809687456041,0.284534719889888,0.877958668002202
"POSTN",0.0378504969923126,1.16489082623581,1.00860035196657,1.34539972587014
"PPP1R14A",0.0269702010989803,1.36556262623941,1.03613102346279,1.79973501801901
"PXDN",0.0179221668898804,1.26973466600484,1.04194030857627,1.54733059925228
"RASGEF1B",0.00685635028787039,0.559189414142222,0.366912424825737,0.85222734290678
"RGS5",0.0415725599409877,0.719762596153251,0.524603996433439,0.987522394688807
"SEMA6B",0.0494963179059574,1.33842333445909,1.0006423637869,1.79022704520043
"SERPINF1",0.0139127237173908,0.722575957301237,0.557736215419672,0.936134322346146
"SERPINH1",0.00524506003554571,1.71836428390513,1.17500978214992,2.51297977009017
"SHF",0.000585389828722235,1.66707050564374,1.24575154228774,2.23088150120495
"SHISA4",0.0212802930026667,1.43804822972734,1.05559940944527,1.95906012500393
"SLC4A3",0.0326356248850168,1.30897273565718,1.0225008954411,1.67570476498672
"SNRPN",0.00131452535272391,0.675203081112023,0.531350130777438,0.858001484023589
"SNURF",0.0426766732531649,0.362473532080788,0.135862217293899,0.967061071695181
"SPOCD1",0.0352243381530172,1.41043552061665,1.02409770715932,1.94251812489185
"SPRY4",0.005498472668688,1.43238077423041,1.11144060951934,1.84599578674044
"STC1",0.025053123577636,1.23900953463711,1.0272047147872,1.49448752018209
"SULF2",0.00502410451783076,1.39912076292765,1.10651681138502,1.76910001647876
"TFPI",0.0219768263254217,1.28475414436737,1.03684641731307,1.59193607067338
"TGFBI",0.00255305465932361,1.32310448227799,1.10306532389082,1.58703698965826
"TLL1",0.0413152954140855,1.37739614905836,1.01269527154478,1.87343636802683
"TNFRSF11B",0.000525988262711545,1.42307616275166,1.16576022332559,1.73718893857504
"TNFRSF12A",0.00695602006281104,1.48089717716812,1.1135000137645,1.96951631992376
